/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[610] pix=32.57 sam=38.90 samrand=38.90
[620] pix=32.49 sam=38.73 samrand=38.73
[630] pix=32.54 sam=38.81 samrand=38.81
[640] pix=32.59 sam=38.89 samrand=38.89
[650] pix=32.57 sam=38.79 samrand=38.79
[660] pix=32.40 sam=38.56 samrand=38.56
[670] pix=32.35 sam=38.44 samrand=38.44
[680] pix=32.49 sam=38.71 samrand=38.71
[690] pix=32.42 sam=38.62 samrand=38.62
[700] pix=32.43 sam=38.68 samrand=38.68
[710] pix=32.50 sam=38.70 samrand=38.70
[720] pix=32.54 sam=38.77 samrand=38.77
[730] pix=32.56 sam=38.73 samrand=38.73
[740] pix=32.52 sam=38.63 samrand=38.63
[750] pix=32.67 sam=38.73 samrand=38.73
[760] pix=32.73 sam=38.83 samrand=38.83
[770] pix=32.64 sam=38.73 samrand=38.73
[780] pix=32.54 sam=38.82 samrand=38.82
[790] pix=32.61 sam=38.81 samrand=38.81
[800] pix=32.53 sam=38.69 samrand=38.69
[810] pix=32.38 sam=38.46 samrand=38.46
[820] pix=32.41 sam=38.58 samrand=38.58
[830] pix=32.34 sam=38.43 samrand=38.43
[840] pix=32.32 sam=38.39 samrand=38.39
[850] pix=32.40 sam=38.45 samrand=38.45
[860] pix=32.46 sam=38.55 samrand=38.55
[870] pix=32.55 sam=38.60 samrand=38.60
[880] pix=32.57 sam=38.63 samrand=38.63
[890] pix=32.56 sam=38.58 samrand=38.58
[900] pix=32.58 sam=38.66 samrand=38.66
[910] pix=32.57 sam=38.68 samrand=38.68
[920] pix=32.57 sam=38.76 samrand=38.76
